id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
78831,Cool Hyde Park efficiency apartment,423840,Marcus,,78751,30.31106,-97.72373,Entire home/apt,119,2,377,2022-05-30,2.75,1,77,36,
762400,"Large Downtown Area Home, Sleeps 10",1795217,Stan,,78703,30.27805,-97.75752,Entire home/apt,673,2,147,2021-12-22,1.31,1,190,9,
78884,Beautiful Zilker Park Condo next to Downtown!,2157243,Sean,,78704,30.26126,-97.77358,Entire home/apt,136,2,175,2022-05-22,1.28,7,117,27,
79100,Bungalow-Pool-Central East-51st Area- Google Fiber,425706,Robert,,78723,30.30933,-97.6952,Entire home/apt,149,30,34,2022-04-30,0.30,4,66,8,
763084,SXSW Central Austin Home,4022974,Mary K.,,78703,30.29624,-97.77349,Entire home/apt,1999,3,1,2014-03-11,0.01,1,365,0,
381240,SXSW LUX Urban abode- Walk to SoCo,1887493,Susan,,78704,30.2538,-97.74359,Entire home/apt,395,4,6,2022-03-28,0.05,1,329,3,
79603,Beautiful Bouldin Cottage - 78704,428883,Beau,,78704,30.24948,-97.75896,Entire home/apt,199,2,128,2022-05-15,0.94,1,253,31,
383603,Cozy Room in Little House... walk downtown,1901242,Leslie,,78702,30.25772,-97.7252,Private room,104,3,104,2022-05-05,0.84,1,84,3,
765117,"F1 FANS  S. Austin, 6 mi to capital",4033615,Karen,,78745,30.21366,-97.81559,Private room,106,1,0,,,1,0,0,
79768,East-Side Bungalow,430091,Shawn,,78702,30.26035,-97.73253,Entire home/apt,225,4,34,2019-03-11,0.26,2,0,0,
765450,The Coffey Grounds:No cleaning fee or extra taxes!,4035868,Carolyn,,78756,30.32255,-97.73869,Entire home/apt,240,1,135,2020-03-17,2.15,1,192,0,
406911,❤ Banana Bread+Next to Downtown+Cozy+Screen Porch,1652515,Cynthia,,78704,30.25909,-97.756,Entire home/apt,166,1,385,2022-05-30,3.27,1,285,61,
412290,GREAT Room - SOUTH CONGRESS Area!,1726978,Benjamin,,78704,30.23899,-97.7522,Private room,47,1,52,2018-01-17,0.45,2,0,0,
82033,"Clean and quiet 3/2, in Mueller area.",445746,Kimberly,,78723,30.30393,-97.68872,Entire home/apt,300,2,4,2021-05-30,0.08,1,179,0,
414543,Spacious Retreat in East Austin,2061635,Carrie & Tyson,,78723,30.295,-97.68182,Entire home/apt,237,3,18,2022-06-05,2.61,1,84,18,
771437,S. Austin Home,4070275,Daniel,,78745,30.22437,-97.78495,Private room,100,1,7,2017-10-22,0.09,1,0,0,
775192,Private Bedroom/Bathroom SE Austin,2438977,David,,78741,30.23746,-97.7099,Private room,265,1,2,2013-03-18,0.02,1,0,0,
83643,Fun Central Austin Convenience,456230,Michele,,78752,30.32395,-97.71851,Private room,67,2,234,2022-06-07,1.79,1,334,46,
776649,Huge house 15mins walk to Downtown,1101753,John & Tina,,78704,30.24369,-97.74169,Entire home/apt,3000,2,59,2019-08-04,0.52,1,0,0,
785963,Bouldin Cottage,4143759,Katy & Rick,,78704,30.24784,-97.76318,Entire home/apt,499,2,86,2022-05-16,0.86,1,352,20,
424279,"Steps to S. Congress, 2 bedroom oasis w/ pool",1275188,Susie & Eoin,,78704,30.241,-97.75371,Entire home/apt,153,30,27,2022-04-09,0.24,1,190,4,
